CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn
2020/01/25 20:08:01.893,,,0,0,,0,0,0,,0,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0.1,97.1,GPS_Atti,6,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,100.8,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,,,,,,,,,,,,,,,,,,,,,99,13,,,,,,,,,1379,2017/03/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,GEO: You are in a Warning Zone (Class D Airspace). Fly with caution.,
2020/01/25 20:08:01.991,,,0,0,,0,0,0,0.01,0,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0.1,97.1,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.1,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,100.8,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,,,,,,,,,,,,,,,,,,,,,99,13,,,,,,,,,1379,2017/03/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.093,,,0,0.01,,0,0.06,0,0.01,0,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0.1,97.1,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.2,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,100.8,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,,,,,,,,,,,,,,,,,,,,,99,13,,,,,,,,,1379,2017/03/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.194,,,0,0.01,,0,0.05,0,0.02,0,0,34.71781,-86.647933,0,127.8,0,0,0,2,0.1,96.9,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.3,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,100.8,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,,,,,,,,,,,,,,,,,,,,,99,13,,,,,,,,,1379,2017/03/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.296,,,0,0.02,,0,0.06,0,0.02,0,0,34.71781,-86.647933,0,127.8,0,0,0,1.8,0,98,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.4,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,101.2,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,-500,0,-2530,697,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.398,,,0,0.02,,0,0.05,0.45,0.03,0.45,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0,97.6,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.5,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,99.6,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.500,,,0,0.03,,0,0.06,0.46,0.04,0.46,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0.1,97.5,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.6,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,98.8,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.601,,,0,0.04,,0,0.06,0.46,0.04,0.46,0,34.71781,-86.647933,0,127.8,0,0,0,1.9,0.1,97.5,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.7,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,98.4,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.703,,,0,0.04,,0,0.06,0.47,0.05,0.47,0,34.717811,-86.647933,0,127.8,0,0,0,1.9,0.1,97.5,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.8,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,98.2,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,8937472,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
2020/01/25 20:08:02.804,,,0,0.05,,0,0.06,0.47,0.05,0.47,0,34.717811,-86.647933,0,127.8,0,0,0,1.8,0.1,97.5,EngineStart,41,Other,0,False,Ground,True,True,Standby,0,True,False,0,P,True,False,False,5,Smart,False,False,False,False,False,False,False,False,14,RC_AssistantTakeoff,9,None,0,Already,0,False,0,0.2,0.9,1,28,Mavic,MonitorError,0,,0,RC,0,0,0,98.1,YawFollow,2,-0.3,0,0,False,0,False,False,False,False,False,1,False,False,False,4100096,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,99,13,,,4.172,4.177,4.183,,,,1379,2017/03/19,,,,,,,0,0,0,0,0,0,1102.949,None,0,NonGoHome,0,0,12.497,99,30,False,10,True,0,,,,,,,,,,,,,,,1,0,1,No,Starting,0,1,Normal,0,No,0,0,0,0,CheckSuccess,Record,30424,30265,6053,4231,5,FC220,13,GoHome,False,False,False,34.717806,-86.647932,127.81,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,30,169.6,0,0,0,66,False,False,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,5,Mavic Pro,Android,4.3.28,08RDE2M00101C2,Yodax,2017/04/27 02:26:40,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,WM220,,,,,,2,1,1,1083,2020/01/25 20:08:01.883,34.71781,-86.647933,4.73,108.1,0,0,0,0,5,127.81,Mavic Pro,2017/04/27 02:26:40,Yodax,08RDE2M00101C2,08TUE3ASE601TZ,08XUE3C00137QU,093AE3H032050N,Android,4.3.28,34.717786,-86.647958,156.66,,,
